Node,Degree
1,15
2,12
3,10
4,9
5,8
6,8
7,7
8,7
9,7
10,6
11,6
12,6
13,6
14,6
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,0
98,0
99,0
100,0
101,0
